,post_text,followers,friends,favorites,statuses,label
0,It's just over 2 years since I was diagnosed with #anxiety and #depression. Today I'm taking a moment to reflect on how far I've come since.,84,211,251,837,1
1,"It's Sunday, I need a break, so I'm planning to spend as little time as possible on the #A14...",84,211,251,837,1
2,Awake but tired. I need to sleep but my brain has other ideas...,84,211,251,837,1
4,It’s hard to say whether packing lists are making life easier or just reinforcing how much still needs doing... #movinghouse #anxiety,84,211,251,837,1
5,Making packing lists is my new hobby... #movinghouse,84,211,251,837,1
6,At what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding...? #movinghouse,84,211,251,837,1
7,Currently in the finding-boxes-of-random-shit packing phase. I think I’m a closet hoarder...,84,211,251,837,1
8,"Can't be bothered to cook, take away on the way 😁👍🏼 #lazy",84,211,251,837,1
10,"... also, I have too much stuff. Way, way too much #movinghouse",84,211,251,837,1
11,I never want to put one of these together again #lotharderthanitlooks http://t.co/70ujlTCKlB,84,211,251,837,1
12,Moving stuff is bloomin’ knackering... and there’s still loads to do... 😥,84,211,251,837,1
13,"Back at the house, moving stuff. It’s so peaceful here... I ❤️ 🏡 😊",84,211,251,837,1
14,Urgh. Anxiety. FFS where does it come from?! (Breathe...),84,211,251,837,1
15,"I have too much stuff. Way, way too much... Massive purge on the way.",84,211,251,837,1
16,Hideous traffic on the A14. Must remember to pay closer attention to the traffic reports...,84,211,251,837,1
17,Packing and purging. Feels good 😊👍🏼,84,211,251,837,1
18,In B&amp;Q looking at internal doors. Fun times 😉,84,211,251,837,1
19,"Time to get up. So many things to do, such a busy day ahead...",84,211,251,837,1
20,It's 6:20... do I get up or lie here a little longer with my cat buddy... ❓,84,211,251,837,1
21,There's nothing like cocktails and exhaustion to aid a good night's  sleep...,84,211,251,837,1
22,Great night out with my favourite ladies. Much needed after the past few days. I love them so much 💕,84,211,251,837,1
23,Sat down on the sofa for a quick rest... an hour ago. Need to move.,84,211,251,837,1
24,How much do I want pizza right now...?,84,211,251,837,1
25,"I will always love you.

Peter Gabriel - In Your Eyes http://t.co/foAexmvoid",84,211,251,837,1
26,Such a busy day ahead. I need to focus but I'm feeling on the edge of derailment right now.,84,211,251,837,1
27,Even now the smallest thing still makes my heart break. I doesn't feel like that ever goes away.,84,211,251,837,1
28,"Why is choosing a curtain pole suddenly so confusing? Too. Many. Choices. And yes, I know this isn't a 'real' problem.",84,211,251,837,1
29,Completed on my house. Got the keys. What a fab day! Whoop! 🏡🎉💕,84,211,251,837,1
31,Big day today 🏡😁🎉,84,211,251,837,1
32,How lovely #PandaStory  https://t.co/GgaVEkymp7,84,211,251,837,1
